"id","code","name","subjects","display_order","is_active"
255,"X84","Ngữ văn, Công nghệ công nghiệp, Tiếng Nga","[""literature"", ""industrial_tech"", ""russian""]",255,True
256,"X85","Ngữ văn, Công nghệ nông nghiệp, Tiếng Nga","[""literature"", ""agricultural_tech"", ""russian""]",256,True
257,"X86","Ngữ văn, Giáo dục Kinh tế và pháp luật, Tiếng Pháp","[""literature"", ""economic_law"", ""french""]",257,True
258,"X87","Ngữ văn, Tin học, Tiếng Pháp","[""literature"", ""informatics"", ""french""]",258,True
259,"X88","Ngữ văn, Công nghệ công nghiệp, Tiếng Pháp","[""literature"", ""industrial_tech"", ""french""]",259,True
260,"X89","Ngữ văn, Công nghệ nông nghiệp, Tiếng Pháp","[""literature"", ""agricultural_tech"", ""french""]",260,True
261,"X90","Ngữ văn, Giáo dục Kinh tế và pháp luật, Tiếng Trung","[""literature"", ""economic_law"", ""chinese""]",261,True
262,"X91","Ngữ văn, Tin học, Tiếng Trung","[""literature"", ""informatics"", ""chinese""]",262,True
263,"X92","Ngữ văn, Công nghệ công nghiệp, Tiếng Trung","[""literature"", ""industrial_tech"", ""chinese""]",263,True
264,"X93","Ngữ văn, Công nghệ nông nghiệp, Tiếng Trung","[""literature"", ""agricultural_tech"", ""chinese""]",264,True
265,"X94","Ngữ văn, Giáo dục Kinh tế và pháp luật, Tiếng Đức","[""literature"", ""economic_law"", ""german""]",265,True
266,"X95","Ngữ văn, Tin học, Tiếng Đức","[""literature"", ""informatics"", ""german""]",266,True
267,"X96","Ngữ văn, Công nghệ công nghiệp, Tiếng Đức","[""literature"", ""industrial_tech"", ""german""]",267,True
268,"X97","Ngữ văn, Công nghệ nông nghiệp, Tiếng Đức","[""literature"", ""agricultural_tech"", ""german""]",268,True
269,"X98","Ngữ văn, Giáo dục Kinh tế và pháp luật, Tiếng Nhật","[""literature"", ""economic_law"", ""japanese""]",269,True
270,"X99","Ngữ văn, Tin học, Tiếng Nhật","[""literature"", ""informatics"", ""japanese""]",270,True
271,"Y01","Ngữ văn, Công nghệ công nghiệp, Tiếng Nhật","[""literature"", ""industrial_tech"", ""japanese""]",271,True
272,"Y02","Ngữ văn, Công nghệ nông nghiệp, Tiếng Nhật","[""literature"", ""agricultural_tech"", ""japanese""]",272,True
273,"Y03","Ngữ văn, Giáo dục Kinh tế và pháp luật, Tiếng Hàn","[""literature"", ""economic_law"", ""korean""]",273,True
274,"Y04","Ngữ văn, Tin học, Tiếng Hàn","[""literature"", ""informatics"", ""korean""]",274,True
275,"Y05","Ngữ văn, Công nghệ công nghiệp, Tiếng Hàn","[""literature"", ""industrial_tech"", ""korean""]",275,True
276,"Y06","Ngữ văn, Công nghệ nông nghiệp, Tiếng Hàn","[""literature"", ""agricultural_tech"", ""korean""]",276,True
277,"Y07","Ngữ văn, Giáo dục Kinh tế và pháp luật, Tin học","[""literature"", ""economic_law"", ""informatics""]",277,True
278,"Y08","Ngữ văn, Giáo dục Kinh tế và pháp luật, Công nghệ công nghiệp","[""literature"", ""economic_law"", ""industrial_tech""]",278,True
279,"Y09","Ngữ văn, Giáo dục Kinh tế và pháp luật, Công nghệ nông nghiệp","[""literature"", ""economic_law"", ""agricultural_tech""]",279,True
280,"Y10","Ngữ văn, Tin học, Công nghệ công nghiệp","[""literature"", ""informatics"", ""industrial_tech""]",280,True
281,"Y11","Ngữ văn, Tin học, Công nghệ nông nghiệp","[""literature"", ""informatics"", ""agricultural_tech""]",281,True
